preco_maximo,preco_minimo,variacao_bid,variacao_pct,preco_compra,preco_venda,data_hora,moeda,data_ingestao,origem_arquivo
21046.8,20642.0,117.07,0.56,20885.5,20932.1,01/01/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
21478.9,20626.6,-46.37,-0.22,20782.0,20830.4,31/12/2024 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
21400.0,20549.1,-42.21,-0.2,20865.0,20915.1,30/12/2024 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
21282.3,20752.2,-295.68,-1.39,20897.0,20945.4,29/12/2024 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
21337.9,20720.5,429.95,2.07,21198.0,21245.3,28/12/2024 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
21380.4,20587.0,94.65,0.46,20766.2,20812.3,27/12/2024 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
21954.4,20550.0,-1157.2,-5.29,20677.6,20721.6,26/12/2024 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
22100.0,21501.3,20.41,0.09,21811.6,21863.5,25/12/2024 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
22085.4,20917.6,514.12,2.41,21795.5,21850.2,24/12/2024 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
21580.9,19848.5,1079.23,5.34,21280.2,21324.5,23/12/2024 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
20921.6,19879.4,-305.4,-1.49,20186.7,20231.3,22/12/2024 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
21863.8,20244.2,-806.69,-3.78,20503.5,20554.5,21/12/2024 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
21505.0,19219.4,191.27,0.9,21328.1,21384.8,20/12/2024 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
23588.4,20606.7,-1760.84,-7.67,21170.2,21196.8,19/12/2024 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
24343.8,22900.0,-992.05,-4.15,22912.8,22960.0,18/12/2024 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
24853.5,23647.9,-524.89,-2.15,23844.7,23904.0,17/12/2024 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
25000.0,23540.1,333.04,1.39,24382.4,24435.0,16/12/2024 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
24096.1,23361.9,447.5,1.9,23999.4,24052.9,15/12/2024 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
23841.2,23317.2,-80.32,-0.34,23554.4,23603.2,14/12/2024 23:58,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
24000.0,23245.2,241.9,1.03,23658.2,23706.4,13/12/2024 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
23985.7,22767.5,452.17,1.97,23415.3,23469.8,12/12/2024 23:58,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
23217.1,21703.6,866.82,3.92,22969.8,23018.2,11/12/2024 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
23238.1,21500.0,-695.6,-3.05,22103.3,22153.2,10/12/2024 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
500.1,487.4,-2.6,-0.52,497.0,497.1,08/06/2025 16:46,LTC-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
